sample-id,absolute-filepath,direction
CPORTLAND-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110002_1_sequence.fastq,forward
CPORTLAND-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110002_2_sequence.fastq,reverse
CPORTLAND-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110003_1_sequence.fastq,forward
CPORTLAND-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110003_2_sequence.fastq,reverse
BMATTAPAN-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110004_1_sequence.fastq,forward
BMATTAPAN-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110004_2_sequence.fastq,reverse
BMATTAPAN-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110005_1_sequence.fastq,forward
BMATTAPAN-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110005_2_sequence.fastq,reverse
BMATTAPAN-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110006_1_sequence.fastq,forward
BMATTAPAN-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110006_2_sequence.fastq,reverse
BROXBURY-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110007_1_sequence.fastq,forward
BROXBURY-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110007_2_sequence.fastq,reverse
BROXBURY-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110008_1_sequence.fastq,forward
BROXBURY-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110008_2_sequence.fastq,reverse
BROXBURY-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110009_1_sequence.fastq,forward
BROXBURY-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110009_2_sequence.fastq,reverse
BALSTON-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110010_1_sequence.fastq,forward
BALSTON-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110010_2_sequence.fastq,reverse
BALSTON-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110011_1_sequence.fastq,forward
BALSTON-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110011_2_sequence.fastq,reverse
BALSTON-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110012_1_sequence.fastq,forward
BALSTON-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110012_2_sequence.fastq,reverse
CPORT-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110013_1_sequence.fastq,forward
CPORT-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110013_2_sequence.fastq,reverse
CPORT-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110014_1_sequence.fastq,forward
CPORT-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110014_2_sequence.fastq,reverse
CPORT-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110015_1_sequence.fastq,forward
CPORT-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110015_2_sequence.fastq,reverse
CMIT-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110016_1_sequence.fastq,forward
CMIT-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110016_2_sequence.fastq,reverse
CMIT-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110017_1_sequence.fastq,forward
CMIT-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110017_2_sequence.fastq,reverse
CMIT-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110018_1_sequence.fastq,forward
CMIT-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110018_2_sequence.fastq,reverse
CNORTH-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110019_1_sequence.fastq,forward
CNORTH-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110019_2_sequence.fastq,reverse
CNORTH-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110020_1_sequence.fastq,forward
CNORTH-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110020_2_sequence.fastq,reverse
CNORTH-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110021_1_sequence.fastq,forward
CNORTH-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110021_2_sequence.fastq,reverse
MIT-160908-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110025_1_sequence.fastq,forward
MIT-160908-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110025_2_sequence.fastq,reverse
MIT-160908-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110026_1_sequence.fastq,forward
MIT-160908-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110026_2_sequence.fastq,reverse
MIT-160908-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110027_1_sequence.fastq,forward
MIT-160908-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110027_2_sequence.fastq,reverse
MIT-160922-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110028_1_sequence.fastq,forward
MIT-160922-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110028_2_sequence.fastq,reverse
MIT-160922-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110029_1_sequence.fastq,forward
MIT-160922-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110029_2_sequence.fastq,reverse
MIT-160922-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110030_1_sequence.fastq,forward
MIT-160922-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110030_2_sequence.fastq,reverse
MIT-161006-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110031_1_sequence.fastq,forward
MIT-161006-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110031_2_sequence.fastq,reverse
MIT-161006-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110032_1_sequence.fastq,forward
MIT-161006-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110032_2_sequence.fastq,reverse
MIT-161006-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110033_1_sequence.fastq,forward
MIT-161006-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110033_2_sequence.fastq,reverse
MIT-161020-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110034_1_sequence.fastq,forward
MIT-161020-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110034_2_sequence.fastq,reverse
MIT-161020-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110035_1_sequence.fastq,forward
MIT-161020-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110035_2_sequence.fastq,reverse
MIT-161020-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110036_1_sequence.fastq,forward
MIT-161020-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110036_2_sequence.fastq,reverse
MIT-161117-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110037_1_sequence.fastq,forward
MIT-161117-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110037_2_sequence.fastq,reverse
MIT-161117-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110038_1_sequence.fastq,forward
MIT-161117-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110038_2_sequence.fastq,reverse
MIT-161117-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110039_1_sequence.fastq,forward
MIT-161117-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110039_2_sequence.fastq,reverse
MIT-161201-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110040_1_sequence.fastq,forward
MIT-161201-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110040_2_sequence.fastq,reverse
MIT-161201-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110041_1_sequence.fastq,forward
MIT-161201-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110041_2_sequence.fastq,reverse
MIT-161201-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110042_1_sequence.fastq,forward
MIT-161201-S3,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110042_2_sequence.fastq,reverse
MIT-161215-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110043_1_sequence.fastq,forward
MIT-161215-S1,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110043_2_sequence.fastq,reverse
MIT-161215-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110044_1_sequence.fastq,forward
MIT-161215-S2,data/raw/16s/boston-multi-loc-MIT-long/fastq/170120AlmA_D17-110044_2_sequence.fastq,reverse
