sample-id,absolute-filepath,direction
uw_110415_02um_chelsea1-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100158_1_sequence.fastq,forward
uw_110415_02um_chelsea1-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100158_2_sequence.fastq,reverse
uw_110415_02um_chelsea1-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100159_1_sequence.fastq,forward
uw_110415_02um_chelsea1-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100159_2_sequence.fastq,reverse
uw_110415_02um_chelsea1-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100160_1_sequence.fastq,forward
uw_110415_02um_chelsea1-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100160_2_sequence.fastq,reverse
uw_110415_02um_chelsea2-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100161_1_sequence.fastq,forward
uw_110415_02um_chelsea2-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100161_2_sequence.fastq,reverse
uw_110415_02um_chelsea2-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100162_1_sequence.fastq,forward
uw_110415_02um_chelsea2-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100162_2_sequence.fastq,reverse
uw_110415_02um_chelsea2-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100163_1_sequence.fastq,forward
uw_110415_02um_chelsea2-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100163_2_sequence.fastq,reverse
uw_110415_02um_chelsea3-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100164_1_sequence.fastq,forward
uw_110415_02um_chelsea3-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100164_2_sequence.fastq,reverse
uw_110415_02um_chelsea3-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100165_1_sequence.fastq,forward
uw_110415_02um_chelsea3-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100165_2_sequence.fastq,reverse
uw_110415_02um_chelsea3-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100166_1_sequence.fastq,forward
uw_110415_02um_chelsea3-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100166_2_sequence.fastq,reverse
uw_110415_02um_portland1-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100171_1_sequence.fastq,forward
uw_110415_02um_portland1-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100171_2_sequence.fastq,reverse
uw_110415_02um_portland1-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100172_1_sequence.fastq,forward
uw_110415_02um_portland1-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100172_2_sequence.fastq,reverse
uw_110415_02um_portland1-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100173_1_sequence.fastq,forward
uw_110415_02um_portland1-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100173_2_sequence.fastq,reverse
uw_110415_02um_portland1-4,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100174_1_sequence.fastq,forward
uw_110415_02um_portland1-4,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100174_2_sequence.fastq,reverse
uw_110415_02um_portland2-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100175_1_sequence.fastq,forward
uw_110415_02um_portland2-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100175_2_sequence.fastq,reverse
uw_110415_02um_portland2-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100176_1_sequence.fastq,forward
uw_110415_02um_portland2-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100176_2_sequence.fastq,reverse
uw_110415_02um_portland2-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100177_1_sequence.fastq,forward
uw_110415_02um_portland2-3,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100177_2_sequence.fastq,reverse
uw_110415_02um_portland3-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100178_1_sequence.fastq,forward
uw_110415_02um_portland3-1,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100178_2_sequence.fastq,reverse
uw_110415_02um_portland3-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100179_1_sequence.fastq,forward
uw_110415_02um_portland3-2,data/raw/16s/boston-upstream-downstream/fastq/160202Alm_D16-100179_2_sequence.fastq,reverse
