sample-id,absolute-filepath,direction
KW-UPSTREAM-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112001_1_sequence.fastq,forward
KW-UPSTREAM-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112001_2_sequence.fastq,reverse
KW-UPSTREAM-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112002_1_sequence.fastq,forward
KW-UPSTREAM-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112002_2_sequence.fastq,reverse
KW-UPSTREAM-S3,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112003_1_sequence.fastq,forward
KW-UPSTREAM-S3,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112003_2_sequence.fastq,reverse
KW-DOWNSTREAM-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112004_1_sequence.fastq,forward
KW-DOWNSTREAM-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112004_2_sequence.fastq,reverse
KW-DOWNSTREAM-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112005_1_sequence.fastq,forward
KW-DOWNSTREAM-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112005_2_sequence.fastq,reverse
KW-DOWNSTREAM-S3,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112006_1_sequence.fastq,forward
KW-DOWNSTREAM-S3,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112006_2_sequence.fastq,reverse
KW-SSHITEEN-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112007_1_sequence.fastq,forward
KW-SSHITEEN-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112007_2_sequence.fastq,reverse
KW-SSHITEEN-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112008_1_sequence.fastq,forward
KW-SSHITEEN-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112008_2_sequence.fastq,reverse
KW-SSHITEEN-S3,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112009_1_sequence.fastq,forward
KW-SSHITEEN-S3,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112009_2_sequence.fastq,reverse
KW-JABRIYA-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112010_1_sequence.fastq,forward
KW-JABRIYA-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112010_2_sequence.fastq,reverse
KW-JABRIYA-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112011_1_sequence.fastq,forward
KW-JABRIYA-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112011_2_sequence.fastq,reverse
KW-JABRIYA-S3,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112012_1_sequence.fastq,forward
KW-JABRIYA-S3,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112012_2_sequence.fastq,reverse
KW-SSZAHRA-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112013_1_sequence.fastq,forward
KW-SSZAHRA-S1,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112013_2_sequence.fastq,reverse
KW-SSZAHRA-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112014_1_sequence.fastq,forward
KW-SSZAHRA-S2,data/raw/16s/kuwait-multi-loc/fastq/170201AlmA_D17-112014_2_sequence.fastq,reverse
