sample-id,absolute-filepath,direction
SEOUL-GANGNAM-S1,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137048_1_sequence.fastq,forward
SEOUL-GANGNAM-S1,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137048_2_sequence.fastq,reverse
SEOUL-GANGNAM-S2,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137049_1_sequence.fastq,forward
SEOUL-GANGNAM-S2,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137049_2_sequence.fastq,reverse
SEOUL-GANGNAM-S3,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137050_1_sequence.fastq,forward
SEOUL-GANGNAM-S3,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137050_2_sequence.fastq,reverse
SEOUL-SEONGBUK-S1,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137051_1_sequence.fastq,forward
SEOUL-SEONGBUK-S1,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137051_2_sequence.fastq,reverse
SEOUL-SEONGBUK-S2,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137052_1_sequence.fastq,forward
SEOUL-SEONGBUK-S2,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137052_2_sequence.fastq,reverse
SEOUL-SEONGBUK-S3,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137053_1_sequence.fastq,forward
SEOUL-SEONGBUK-S3,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137053_2_sequence.fastq,reverse
SEOUL-MAPO-S1,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137054_1_sequence.fastq,forward
SEOUL-MAPO-S1,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137054_2_sequence.fastq,reverse
SEOUL-MAPO-S2,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137055_1_sequence.fastq,forward
SEOUL-MAPO-S2,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137055_2_sequence.fastq,reverse
SEOUL-MAPO-S3,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137056_1_sequence.fastq,forward
SEOUL-MAPO-S3,data/raw/16s/seoul-multi-loc/fastq/170613AlmA_D17-137056_2_sequence.fastq,reverse
